checked_at,source,brand,name,mrp,price,discount_pct,price_per_100g,in_stock,url
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,1049,799,23.8,159.8,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,1049,799,23.8,159.8,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Pure Pea Protein Isolate,1349,849,37.1,84.9,True,https://nutrabay.com/product/nutrabay-pure-100-pea-protein-isolate/?pId=4537768
2026-09-05 13:12 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,1699,949,44.1,187.92,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-09-05 13:12 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,1699,949,44.1,187.92,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-09-05 13:12 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,1699,949,44.1,187.92,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Pure Soy Protein Isolate,1349,999,25.9,99.9,True,https://nutrabay.com/product/nutrabay-pure-100-soy-protein-isolate/?pId=4186049
2026-09-05 13:12 IST,Nutrabay,Optimum Nutrition,Optimum Nutrition (ON) Gold Standard Whey Protein Powder,1079,1079,0.0,,True,https://nutrabay.com/product/optimum-nutrition-on-100-whey-gold-standard-2/?pId=4471481
2026-09-05 13:12 IST,Fast&Up,Fastandup,100% Pure & Natural Moringa Powder,250.0,238.0,4.8,,True,https://in.fastandup.com/products/100-pure-natural-moringa-powder
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Assorted Pack,270.0,243.0,10.0,,True,https://in.fastandup.com/products/fast-up-plant-protein-assorted-pack
